"Processor","Word","Data_Type","ProcessValue","SignalName","Percentage","Percentage_value"
"ASC1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"ASC2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"ASC2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"ASC2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"ASC2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"ASC2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"ASC2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"ASC2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"ASC2","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"ASC2","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"ASC2","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"NSC1","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"NSC1","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"NSC1","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"NSC1","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"NSC1","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"NSC1","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"NSC1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"NSC1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"NSC1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"NSC1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"NSC2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"NSC2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"NSC2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"NSC2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"NSC2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"NSC2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"NSC2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"NSC2","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"NSC2","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"NSC2","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"ADM1","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"ADM1","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"ADM1","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"ADM1","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"ADM1","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"ADM1","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"ADM1","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"ADM1","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"ADM1","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"ADM1","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"ADM2","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"ADM2","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"ADM2","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"ADM2","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"ADM2","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"ADM2","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"ADM2","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"ADM2","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"ADM2","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"ADM2","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"MNGR","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"MNGR","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"MNGR","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"MNGR","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
